部件,部品,物料
门厅,地面,瓷砖
门厅,地面,木地板
门厅,地面,石材
门厅,地面,地毯
门厅,固装,玄关柜
门厅,固装,鞋柜
门厅,灯具,筒灯
门厅,灯具,射灯
门厅,灯具,灯带
洗衣房,地面,瓷砖
洗衣房,地面,木地板
洗衣房,地面,石材
洗衣房,固装,洗衣机柜
洗衣房,固装,浴室柜
洗衣房,固装,镜柜
洗衣房,固装,洗衣柜
洗衣房,五金洁具,台盆
洗衣房,五金洁具,龙头
洗衣房,五金洁具,拖把池
洗衣房,灯具,筒灯
洗衣房,灯具,射灯
洗衣房,灯具,灯带
洗衣房,木门,木门
客餐厨,地面,瓷砖
客餐厨,地面,木地板
客餐厨,地面,石材
客餐厨,地面,地毯
客餐厨,墙面,瓷砖
客餐厨,墙面,石材
客餐厨,固装,定制橱柜
客餐厨,固装,洗衣柜
客餐厨,固装,餐厨中岛台
客餐厨,固装,电视柜
客餐厨,五金洁具,水槽
客餐厨,五金洁具,龙头
客餐厨,电器,油烟机
客餐厨,电器,灶具
客餐厨,电器,洗碗机
客餐厨,电器,烤箱
客餐厨,电器,冰箱
客餐厨,灯具,筒灯
客餐厨,灯具,射灯
客餐厨,灯具,灯带
主卧室,地面,木地板
主卧室,地面,地毯
主卧室,固装,电视柜
主卧室,固装,衣柜
主卧室,灯具,筒灯
主卧室,灯具,射灯
主卧室,灯具,灯带
主卧室,木门,木门
主卫生间,地面,瓷砖
主卫生间,地面,石材
主卫生间,墙面,瓷砖
主卫生间,墙面,石材
主卫生间,固装,浴室柜
主卫生间,固装,镜柜
主卫生间,五金洁具,台盆
主卫生间,五金洁具,龙头
主卫生间,五金洁具,座便器
主卫生间,五金洁具,花洒
主卫生间,五金洁具,毛巾架
主卫生间,五金洁具,卫生纸架
主卫生间,五金洁具,浴缸
主卫生间,五金洁具,浴巾杆
主卫生间,五金洁具,淋浴屏风
主卫生间,灯具,筒灯
主卫生间,灯具,射灯
主卫生间,灯具,灯带
主卫生间,木门,木门
次卧室,地面,木地板
次卧室,地面,地毯
次卧室,固装,电视柜
次卧室,固装,衣柜
次卧室,灯具,筒灯
次卧室,灯具,射灯
次卧室,灯具,灯带
次卧室,木门,木门
次卫生间,地面,瓷砖
次卫生间,地面,石材
次卫生间,墙面,瓷砖
次卫生间,墙面,石材
次卫生间,固装,浴室柜
次卫生间,固装,镜柜
次卫生间,五金洁具,台盆
次卫生间,五金洁具,龙头
次卫生间,五金洁具,座便器
次卫生间,五金洁具,花洒
次卫生间,五金洁具,毛巾架
次卫生间,五金洁具,卫生纸架
次卫生间,五金洁具,浴巾杆
次卫生间,五金洁具,淋浴屏风
次卫生间,灯具,筒灯
次卫生间,灯具,射灯
次卫生间,灯具,灯带
次卫生间,木门,木门
书房,地面,木地板
书房,地面,地毯
书房,固装,书柜
书房,灯具,筒灯
书房,灯具,射灯
书房,灯具,灯带
书房,木门,木门
阳台,地面,瓷砖
阳台,地面,石材
阳台,墙面,瓷砖
阳台,墙面,石材
阳台,灯具,筒灯
阳台,灯具,射灯
阳台,灯具,灯带
阳台,五金洁具,龙头
阳台,五金洁具,拖把池
